value,id,display_value
0,FR,0.00%
0,LV,0.00%
0,NL,0.00%
09,BE,9.00%
1.3,NO,1.30%
10,CY,10.00%
10.2,DE,10.20%
13.2,AT,13.20%
15,ES,15.00%
15.4,RO,15.40%
2.1,FI,2.10%
2.8,GB,2.80%
25,DK,25.00%
3,GR,3.00%
3.0,IT,3.00%
3.1,IE,3.10%
36.3,SI,36.30%
7.6,SE,7.60%
7.7,MT,7.70%
