value,id,display_value
5.6,AT,5.60%
0.6,BE,0.60%
22.9,BG,22.90%
19.4,HR,19.40%
3.2,CZ,3.20%
4.7,DK,4.70%
2.8,EE,2.80%
12.7,FI,12.70%
22.9,FR,22.90%
6.2,DE,6.20%
7.2,HU,7.20%
24,IS,24.00%
17.5,IE,17.50%
12.3,IT,12.30%
8.5,LV,8.50%
16.1,LT,16.10%
3.7,LU,3.70%
35,MT,35.00%
1.8,NL,1.80%
5.4,NO,5.40%
24.4,PL,24.40%
11.2,PT,11.20%
39,RO,39.00%
22.2,SK,22.20%
9,SI,9.00%
23.5,ES,23.50%
6.8,SE,6.80%
7.8,GB,7.80%
