value,id,display_value
8.4,AT,8.40%
19.7,BE,19.70%
75,BG,75.00%
46.8,HR,46.80%
43.5,CY,43.50%
54.1,CZ,54.10%
7.8,DK,7.80%
23.7,EE,23.70%
30.3,EU,30.30%
3,FI,3.00%
30.5,FR,30.50%
10.1,DE,10.10%
69.5,GR,69.50%
37.2,HU,37.20%
0,IS,0.00%
14.7,IE,14.70%
55.9,IT,55.90%
47,LV,47.00%
51.7,LT,51.70%
28.3,LU,28.30%
16.3,MT,16.30%
8.6,NL,8.60%
5,NO,5.00%
64.2,PL,64.20%
40.4,PT,40.40%
70.7,RO,70.70%
67.2,SK,67.20%
22.8,SI,22.80%
20.3,ES,20.30%
3.3,SE,3.30%
10.5,GB,10.50%
