value,id,display_value
9.7,AT,9.70%
9.7,BE,9.70%
38.5,BG,38.50%
12.5,HR,12.50%
28.5,CY,28.50%
14.5,CZ,14.50%
7.5,DK,7.50%
11.4,EE,11.40%
13.1,EU,13.10%
6.1,FI,6.10%
11,FR,11.00%
10.4,DE,10.40%
19.8,GR,19.80%
16.7,HU,16.70%
1.7,IS,1.70%
11.4,IE,11.40%
30.1,IT,30.10%
17.9,LV,17.90%
16,LT,16.00%
12.7,LU,12.70%
11.2,MT,11.20%
5.7,NL,5.70%
6,NO,6.00%
11.9,PL,11.90%
16.1,PT,16.10%
26.8,RO,26.80%
30,SK,30.00%
13.7,SI,13.70%
11.6,ES,11.60%
6.2,SE,6.20%
11.3,GB,11.30%
