value,id,display_value
0.8,AT,0.80%
0.5,BE,0.50%
3.2,BG,3.20%
2.4,HR,2.40%
12.9,CY,12.90%
0.3,CZ,0.30%
0,DK,0.00%
0,EE,0.00%
8.1,EU,8.10%
0,FI,0.00%
0.5,FR,0.50%
0.1,DE,0.10%
61.9,GR,61.90%
0.1,HU,0.10%
0,IS,0.00%
0.5,IE,0.50%
33.5,IT,33.50%
0,LV,0.00%
0,LT,0.00%
0,LU,0.00%
5.4,MT,5.40%
0.1,NL,0.10%
0.1,NO,0.10%
0.5,PL,0.50%
3.4,PT,3.40%
24.7,RO,24.70%
0.9,SK,0.90%
1.3,SI,1.30%
2.2,ES,2.20%
0,SE,0.00%
0.4,GB,0.40%
